especie,fecha,apertura,maximo,minimo,cierre,volumen,timestamp
AE38,2022-01-03,7301.0,7380.0,7301.0,7355.0,213143,1641178800
AE38,2022-01-04,7345.0,7345.0,7245.0,7294.0,518487,1641265200
AE38,2022-01-05,7230.0,7299.5,7210.0,7290.0,648362,1641351600
AE38,2022-01-06,7100.0,7199.0,7050.0,7065.0,585065,1641438000
AE38,2022-01-07,7050.0,7050.0,6956.0,6965.0,920473,1641524400
AE38,2022-01-10,6875.0,6950.0,6800.0,6950.0,1033766,1641783600
AE38,2022-01-11,7000.0,7010.0,6875.0,6907.0,468340,1641870000
AE38,2022-01-12,6915.0,6915.0,6750.0,6830.0,1380425,1641956400
AE38,2022-01-13,6781.0,6828.0,6680.0,6700.0,917773,1642042800
AE38,2022-01-14,6690.0,6724.0,6640.0,6670.0,1946803,1642129200
AE38,2022-01-17,6700.0,6720.0,6600.0,6720.0,1145231,1642388400
AE38,2022-01-18,6700.0,6725.0,6600.0,6638.0,2230305,1642474800
AE38,2022-01-19,6626.0,6740.0,6626.0,6740.0,1139100,1642561200
AE38,2022-01-20,6730.0,6900.0,6730.0,6805.5,894108,1642647600
AE38,2022-01-21,6900.0,6900.0,6830.0,6850.0,1568116,1642734000
AE38,2022-01-24,6870.0,6870.0,6748.0,6820.0,455314,1642993200
AE38,2022-01-25,6890.0,6890.0,6790.0,6880.0,696997,1643079600
AE38,2022-01-26,6976.0,7214.0,6950.0,7150.0,288043,1643166000
AE38,2022-01-27,7100.0,7200.0,7015.0,7193.0,589264,1643252400
AE38,2022-01-28,7490.0,7700.0,7375.0,7700.0,911257,1643338800
AE38,2022-01-31,7807.0,7930.0,7680.0,7680.0,1136616,1643598000
AE38,2022-02-01,7680.0,7774.5,7460.0,7500.0,1153087,1643684400
AE38,2022-02-02,7500.0,7680.0,7490.0,7523.0,1771999,1643770800
AE38,2022-02-03,7518.0,7550.0,7320.0,7320.0,575641,1643857200
AE38,2022-02-04,7320.0,7348.5,7150.0,7170.0,1533004,1643943600
AE38,2022-02-07,7150.0,7175.0,7110.0,7145.0,307100,1644202800
AE38,2022-02-08,7150.0,7199.0,7057.0,7130.0,349419,1644289200
AE38,2022-02-09,7200.0,7200.0,7050.0,7105.0,741377,1644375600
AE38,2022-02-10,7195.0,7195.0,7000.0,7075.0,1235795,1644462000
AE38,2022-02-11,7030.0,7250.0,7030.0,7060.0,1362534,1644548400
AE38,2022-02-14,7060.0,7060.0,6965.0,7020.0,246410,1644807600
AE38,2022-02-15,7060.0,7100.0,7014.0,7060.0,1219505,1644894000
AE38,2022-02-16,7100.0,7222.0,7050.0,7155.0,913177,1644980400
AE38,2022-02-17,7170.0,7200.0,7075.5,7090.0,719207,1645066800
AE38,2022-02-18,7150.0,7230.0,7075.0,7230.0,1855853,1645153200
AE38,2022-02-21,7130.0,7350.0,7130.0,7327.5,1430938,1645412400
AE38,2022-02-22,7300.0,7300.0,7100.0,7180.0,704174,1645498800
AE38,2022-02-23,7112.0,7126.0,7040.0,7099.0,630654,1645585200
AE38,2022-02-24,7000.0,7025.0,6940.0,6999.5,1416666,1645671600
AE38,2022-02-25,7100.0,7100.0,6800.0,6869.0,602705,1645758000
