especie,fecha,apertura,maximo,minimo,cierre,volumen,timestamp
AL30D,2022-01-03,32.7,33.35,32.45,33.06,2665470,1641178800
AL30D,2022-01-04,32.54,32.94,32.3,32.75,2477311,1641265200
AL30D,2022-01-05,32.29,32.62,32.15,32.2,2073849,1641351600
AL30D,2022-01-06,31.5,31.5,30.59,31.03,2149910,1641438000
AL30D,2022-01-07,30.9,30.9,30.19,30.22,2123015,1641524400
AL30D,2022-01-10,30.22,30.6,29.25,30.6,2392004,1641783600
AL30D,2022-01-11,30.49,30.6,30.06,30.3,1954325,1641870000
AL30D,2022-01-12,30.0,30.38,29.95,30.12,2218834,1641956400
AL30D,2022-01-13,29.81,30.15,29.8,29.8,2366450,1642042800
AL30D,2022-01-14,29.5,29.62,29.2,29.31,1930350,1642129200
AL30D,2022-01-17,29.0,29.31,28.82,29.22,2443875,1642388400
AL30D,2022-01-18,29.0,29.19,28.62,29.13,2785028,1642474800
AL30D,2022-01-19,29.15,29.55,29.15,29.33,2174171,1642561200
AL30D,2022-01-20,29.01,29.45,28.71,28.73,2059285,1642647600
AL30D,2022-01-21,28.71,28.81,28.2,28.8,2878436,1642734000
AL30D,2022-01-24,28.4,28.4,27.8,27.82,2711263,1642993200
AL30D,2022-01-25,27.61,28.4,27.61,28.27,2225320,1643079600
AL30D,2022-01-26,28.25,29.49,28.25,29.32,2337366,1643166000
AL30D,2022-01-27,28.91,28.93,28.25,28.67,1576964,1643252400
AL30D,2022-01-28,30.5,31.3,29.87,30.74,4509121,1643338800
AL30D,2022-01-31,30.76,32.0,30.76,31.62,2755830,1643598000
AL30D,2022-02-01,31.2,31.9,30.71,31.75,2690550,1643684400
AL30D,2022-02-02,31.31,32.1,31.31,31.85,2700156,1643770800
AL30D,2022-02-03,31.4,31.56,30.95,31.05,1839242,1643857200
AL30D,2022-02-04,30.62,30.66,30.0,30.0,1859231,1643943600
AL30D,2022-02-07,30.0,30.9,29.47,30.7,2077071,1644202800
AL30D,2022-02-08,30.27,31.0,30.27,30.8,2173301,1644289200
AL30D,2022-02-09,30.55,30.95,30.55,30.6,1705118,1644375600
AL30D,2022-02-10,30.5,30.5,29.64,30.16,1852306,1644462000
AL30D,2022-02-11,29.76,30.13,29.62,29.85,2067053,1644548400
AL30D,2022-02-14,29.69,30.05,28.79,29.85,2648762,1644807600
AL30D,2022-02-15,29.9,30.3,29.9,30.21,1867631,1644894000
AL30D,2022-02-16,30.2,30.5,30.2,30.48,2259984,1644980400
AL30D,2022-02-17,30.09,30.44,30.09,30.19,1707856,1645066800
AL30D,2022-02-18,30.05,31.2,30.05,30.8,3292149,1645153200
AL30D,2022-02-21,30.8,31.01,30.15,30.89,2106347,1645412400
AL30D,2022-02-22,30.8,30.89,30.36,30.66,2193872,1645498800
AL30D,2022-02-23,30.65,30.8,30.1,30.41,1818303,1645585200
AL30D,2022-02-24,30.2,30.22,28.5,30.01,2303110,1645671600
AL30D,2022-02-25,29.6,30.2,29.6,30.05,2906908,1645758000
AL30D,2022-03-02,29.6,29.99,28.3,29.4,2484122,1646190000
AL30D,2022-03-03,29.3,30.0,28.7,29.52,3282351,1646276400
AL30D,2022-03-04,29.11,29.11,28.62,28.62,2964252,1646362800
AL30D,2022-03-07,28.22,28.53,27.79,28.05,4658273,1646622000
AL30D,2022-03-08,27.61,28.17,27.36,28.13,4302765,1646708400
AL30D,2022-03-09,28.0,29.0,28.0,29.0,4500099,1646794800
AL30D,2022-03-10,29.0,29.5,28.48,29.47,6829619,1646881200
AL30D,2022-03-11,29.4,30.0,29.25,29.52,7233716,1646967600
AL30D,2022-03-14,29.5,29.72,29.15,29.62,6018532,1647226800
AL30D,2022-03-15,29.2,29.5,29.02,29.35,6302084,1647313200
AL30D,2022-03-16,29.35,29.68,29.21,29.52,7101773,1647399600
AL30D,2022-03-17,29.21,29.58,28.95,29.53,6544087,1647486000
AL30D,2022-03-18,29.25,29.45,28.87,28.87,7300123,1647572400
AL30D,2022-03-21,28.65,29.18,28.55,29.0,5841789,1647831600
AL30D,2022-03-22,28.66,28.89,28.45,28.6,6641794,1647918000
AL30D,2022-03-23,28.44,28.46,28.01,28.15,4992104,1648004400
AL30D,2022-03-25,28.11,28.91,28.11,28.85,4859184,1648177200
AL30D,2022-03-28,28.65,29.6,28.65,29.42,6047413,1648436400
AL30D,2022-03-29,29.7,30.15,29.7,30.0,5999129,1648522800
AL30D,2022-03-30,30.0,30.4,29.7,30.33,6992488,1648609200
AL30D,2022-03-31,30.1,30.56,30.1,30.51,7073499,1648695600
AL30D,2022-04-01,30.27,30.7,30.26,30.7,8312827,1648782000
AL30D,2022-04-04,30.41,31.08,30.32,31.05,14219736,1649041200
AL30D,2022-04-05,30.85,31.1,30.63,30.69,9608662,1649127600
AL30D,2022-04-06,30.4,30.67,29.97,30.52,9072491,1649214000
AL30D,2022-04-07,30.52,30.56,30.18,30.35,8672697,1649300400
AL30D,2022-04-08,30.05,30.25,29.73,29.73,6735686,1649386800
AL30D,2022-04-11,29.59,30.03,29.41,29.69,5990425,1649646000
AL30D,2022-04-12,29.5,29.83,29.42,29.57,6186865,1649732400
AL30D,2022-04-13,29.5,29.96,29.5,29.9,7101104,1649818800
AL30D,2022-04-18,29.75,30.25,29.57,30.17,7213692,1650250800
AL30D,2022-04-19,29.85,30.09,29.71,29.92,7785335,1650337200
AL30D,2022-04-20,29.85,29.94,29.62,29.7,6024284,1650423600
AL30D,2022-04-21,29.5,29.69,28.92,29.0,7432977,1650510000
AL30D,2022-04-22,28.59,28.89,28.1,28.35,6590069,1650596400
AL30D,2022-04-25,28.02,28.97,27.71,28.79,5613461,1650855600
AL30D,2022-04-26,28.78,28.99,28.47,28.65,6313790,1650942000
AL30D,2022-04-27,28.42,28.8,28.42,28.7,5891726,1651028400
AL30D,2022-04-28,28.6,28.7,28.2,28.38,4494403,1651114800
AL30D,2022-04-29,28.23,28.37,28.0,28.01,4061861,1651201200
